Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
nuoG,0.17580756787216079,,0.08832633401373359,,-0.5762561743471842,-0.5753180178936473,-0.382435021381769,-0.24725578821855768,,-1.0790714704757685,,-7.820566931737068,,,
petB,1.2696264963711525,,,,,,,0.764947238273808,-4.983033616311081,,,1.0993736605531992,-0.6670917170261537,1.4948530709597312,0.6564683411702025
sdhA,0.18943768226435143,,-0.25541261047784836,0.1332984705823045,-0.19662934144369118,,-0.17617606543889197,-0.18260403015658547,0.22822229138651134,,,-0.13155621781962823,,-0.2843323178340113,-0.5875791674163957
sucB,0.30596907963800063,0.4662810649554453,-0.28667104509554364,,-0.9208709138261583,-0.9148979693279654,-0.9377071576781267,-0.5880770020616036,,-0.2927993564438007,,-0.29776376844118047,-3.087832921299664,-0.2914369390419137,-0.49571576249738497
sucC,-1.1997811039515838,0.15002105077044414,,,-1.5961631887724073,-1.485354902590602,-1.684811381039793,-1.0394793874600052,-0.12972444952940995,-1.0949198286114652,,-0.08461068521153918,-1.4522293163538664,-2.7756724926021055,-0.6566051462502984
sucD,-1.2198911065534812,,,,-1.191671799036021,-1.1739494813495184,-1.1868287529755652,-0.8248644786551964,,-0.8877059740900409,-0.17350456935413028,0.13536096746630275,-1.1415533978929788,-2.820372863824032,-0.5390729758826333
atpA,,-0.2903648052581553,,,0.6578051571779112,0.6647207922930719,0.5550508554262087,0.35447749235831205,,0.43882268963592364,,0.30969691365744473,,0.5539290764336567,0.3449669538935723
glcB,,0.388385696922101,0.2393081757957683,,0.2461195038917831,,0.4435949554686355,,,,,,,,
icd,,1.097073262097004,,-0.5714604610628989,-0.6247321340382882,-0.5897835174544899,,0.6748697089122435,0.531353459420993,,,-1.2965520991195627,,1.1750977666838227,
mqo1,,0.39663674177537667,,-4.2036776466364705,,,-0.4738927132529254,,0.5311143651266735,,,,,0.7537680529756764,0.6462534572425667
mqo3,,1.5605459496128444,1.5511297500363064,-4.193083452292365,-1.068923515490111,-2.8066634912544677,0.8297856663112195,,,,,-2.2911863800370957,-3.5774328676784966,,-4.396184467263962
nuoE,,-0.5868924314185908,,,-0.46881977048945,-0.4578258539832073,,-0.3413188042668475,,-1.4304642442027578,,-6.10810605260787,,,
sucA,,0.29052384281554217,-0.18836481240302325,,-0.6614384092770947,-0.5518005988305429,-0.773128550368412,,,,,,-2.754804671983996,-0.34316414265637524,-0.3592552389098409
atpG,,,0.1389426065276995,,0.6896739769280082,0.6561095490536896,0.5228071394175704,0.17673073473337347,,,,0.38661963850866365,0.230904066047058,0.6254172660627062,
cioA,,,2.6015623108060426,,2.5051937917851608,2.436728021141495,2.07569882174485,2.2247399729109514,,-1.3719421644938739,,-2.488077992780782,-1.9710454894469953,3.618314951109475,-2.062222199095836
cyoA,,,-0.20185920790122436,,-3.020402508100569,-3.159749023766969,-3.525572572393772,-1.1976939255782015,0.2889018669547253,,,,,-6.730275713925735,0.41097997772564415
petA,,,0.24820787935317012,,,,0.6081997704354049,0.8988928837435759,-6.956784518141201,,,,-0.8910155535548987,1.3628283307523583,0.6831399004426959
sdhB,,,-0.23850859174576672,,-0.4016111315973307,-0.5274118564386913,-0.3066915112462253,-0.43338957674320494,,,,,,-0.4153241819310351,-0.8658009273580017
sdhC,,,-0.3938655936474144,,,-1.3733882490957516,,-0.3529525497865865,-1.9681276409658945,-1.2524650512022677,,,,,
cyoB,,,,-0.1298981140631532,-3.8648264572987805,-4.436787216279758,-7.97839800551319,0.26499213552575646,0.257996828436299,,,,0.1447736853739511,-4.742766811487924,0.521048976992888
petC,,,,0.3239781438684618,0.4281720718766234,0.40147564027019533,0.6945404534047473,,-4.359719809581982,,,,-0.595605996600764,1.3260823304050648,0.7640774420244286
atpH,,,,,0.7064093630431257,0.6398704103332727,0.4230612791735601,0.24292269376397638,,,,0.4601207676869939,,0.5300351183321571,
ccoN-I,,,,,1.3079862446236334,,,2.203967969156062,,,,,,,
ccoO-I,,,,,0.9575235948124354,0.946488278771952,1.4439744474510368,1.8192608823868197,,,,,-0.8642983136727345,2.2458967419470244,1.4471528814222259
nuoF,,,,,-0.7415962357034557,,,,,-0.5951305812074417,,-7.3562465944308695,,,
nuoI,,,,,-0.6314987545417641,-0.5506219383301275,-0.3311330737262933,,,-0.3925874970381917,,-6.647691300530326,,,0.14965489758543918
sdhD,,,,,-0.49154294823994665,-0.5179735415797904,,-0.4206979251286274,0.298397016436523,0.5329310892015284,,,,,-0.28380966556941134
atpC,,,,,,0.7391192987729155,,,,,,0.5355913874241999,,,
nuoH,,,,,,-0.7486802737968794,-0.3497683751143501,,,,,-5.919801566043871,,,
